Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
EHMT1,Euchromatic Histone Lysine Methyltransferase 1,Protein Coding,53,GC09P137618,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EHMT1
RPS6KA2,Ribosomal Protein S6 Kinase A2,Protein Coding,53,GC06M166409,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KA2
TNIK,TRAF2 And NCK Interacting Kinase,Protein Coding,52,GC03M171068,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNIK
UBE2C,Ubiquitin Conjugating Enzyme E2 C,Protein Coding,52,GC20P045812,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2C
EED,Embryonic Ectoderm Development,Protein Coding,50,GC11P086244,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EED
MINK1,Misshapen Like Kinase 1,Protein Coding,50,GC17P004833,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MINK1
ERF,ETS2 Repressor Factor,Protein Coding,48,GC19M042247,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERF
UBE2S,Ubiquitin Conjugating Enzyme E2 S,Protein Coding,48,GC19M055399,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2S
AGO1,Argonaute RISC Component 1,Protein Coding,47,GC01P035869,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO1
UBE2E1,Ubiquitin Conjugating Enzyme E2 E1,Protein Coding,47,GC03P023805,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2E1
ANAPC11,Anaphase Promoting Complex Subunit 11,Protein Coding,46,GC17P081890,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC11
H2BC21,H2B Clustered Histone 21,Protein Coding,46,GC01M153144,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC21
H3-3B,H3.3 Histone B,Protein Coding,46,GC17M075815,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3-3B
TNRC6A,Trinucleotide Repeat Containing Adaptor 6A,Protein Coding,46,GC16P024867,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6A
TNRC6B,Trinucleotide Repeat Containing Adaptor 6B,Protein Coding,46,GC22P040044,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6B
AGO3,Argonaute RISC Catalytic Component 3,Protein Coding,44,GC01P035930,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO3
H4C3,H4 Clustered Histone 3,Protein Coding,44,GC06P095888,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C3
SCMH1,Scm Polycomb Group Protein Homolog 1,Protein Coding,44,GC01M041027,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCMH1
H2BC11,H2B Clustered Histone 11,Protein Coding,43,GC06M074603,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC11
H2BC9,H2B Clustered Histone 9,Protein Coding,43,GC06P097035,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC9
H4C11,H4 Clustered Histone 11,Protein Coding,43,GC06P095947,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C11
CBX6,Chromobox 6,Protein Coding,42,GC22M038861,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX6
H2BC14,H2B Clustered Histone 14,Protein Coding,42,GC06P095945,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC14
H3C2,H3 Clustered Histone 2,Protein Coding,42,GC06M026037,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C2
H3C4,H3 Clustered Histone 4,Protein Coding,42,GC06M075753,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C4
H4C2,H4 Clustered Histone 2,Protein Coding,42,GC06M026026,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C2
H4C8,H4 Clustered Histone 8,Protein Coding,42,GC06M075761,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C8
H4C9,H4 Clustered Histone 9,Protein Coding,42,GC06P097041,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C9
AGO4,Argonaute RISC Component 4,Protein Coding,41,GC01P035807,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGO4
H4C12,H4 Clustered Histone 12,Protein Coding,41,GC06M075757,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C12
H4C5,H4 Clustered Histone 5,Protein Coding,41,GC06P097039,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C5
H2BC13,H2B Clustered Histone 13,Protein Coding,40,GC06M074677,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC13
H2BC15,H2B Clustered Histone 15,Protein Coding,40,GC06P095949,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC15
H3C11,H3 Clustered Histone 11,Protein Coding,40,GC06M075751,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C11
H3C12,H3 Clustered Histone 12,Protein Coding,40,GC06M075752,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C12
H3C14,H3 Clustered Histone 14,Protein Coding,40,GC01M153137,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C14
H4C4,H4 Clustered Histone 4,Protein Coding,40,GC06M075759,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C4
TNRC6C,Trinucleotide Repeat Containing Adaptor 6C,Protein Coding,40,GC17P077959,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNRC6C
ANAPC15,Anaphase Promoting Complex Subunit 15,Protein Coding,39,GC11M072106,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANAPC15
H2BC10,H2B Clustered Histone 10,Protein Coding,39,GC06P097031,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC10
H2BC12,H2B Clustered Histone 12,Protein Coding,39,GC06M074608,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC12
H2BC17,H2B Clustered Histone 17,Protein Coding,39,GC06P095958,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC17
H2BC26,H2B Clustered Histone 26,Protein Coding,39,GC01P229820,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC26
H2BC6,H2B Clustered Histone 6,Protein Coding,39,GC06P097033,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC6
H3C10,H3 Clustered Histone 10,Protein Coding,39,GC06P095946,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C10
H3C3,H3 Clustered Histone 3,Protein Coding,39,GC06P095884,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C3
H3C6,H3 Clustered Histone 6,Protein Coding,39,GC06P097037,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C6
H3C7,H3 Clustered Histone 7,Protein Coding,39,GC06M075754,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C7
H3C8,H3 Clustered Histone 8,Protein Coding,39,GC06M075755,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C8
H4C13,H4 Clustered Histone 13,Protein Coding,39,GC06M075758,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C13
CDC26,Cell Division Cycle 26,Protein Coding,38,GC09M113255,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC26
H2BC8,H2B Clustered Histone 8,Protein Coding,38,GC06M075750,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC8
H3C15,H3 Clustered Histone 15,Protein Coding,38,GC01P151407,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C15
H4C14,H4 Clustered Histone 14,Protein Coding,38,GC01P149832,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C14
H4C6,H4 Clustered Histone 6,Protein Coding,38,GC06P097040,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C6
H2BC7,H2B Clustered Histone 7,Protein Coding,37,GC06P097034,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC7
H3C13,H3 Clustered Histone 13,Protein Coding,37,GC01M153128,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H3C13
H2AB1,H2A.B Variant Histone 1,Protein Coding,36,GC0XP154885,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AB1
H4C15,H4 Clustered Histone 15,Protein Coding,34,GC01M153138,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C15
COMMD3-BMI1,COMMD3-BMI1 Readthrough,Protein Coding,26,GC10P022316,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMMD3-BMI1
LOC102724334,Histone H2B Type F-S-Like,Protein Coding,7,GC21M005972,1.567605972,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC102724334
MITF,Melanocyte Inducing Transcription Factor,Protein Coding,55,GC03P069788,1.546899557,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MITF
GSK3B,Glycogen Synthase Kinase 3 Beta,Protein Coding,57,GC03M119821,1.535668254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSK3B
RBX1,Ring-Box 1,Protein Coding,50,GC22P040951,1.535668254,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBX1
JAK1,Janus Kinase 1,Protein Coding,60,GC01M064833,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK1
CFB,Complement Factor B,Protein Coding,54,GC06P031945,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFB
LPAR1,Lysophosphatidic Acid Receptor 1,Protein Coding,53,GC09M110873,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPAR1
SLC25A13,Solute Carrier Family 25 Member 13,Protein Coding,53,GC07M096120,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A13
CDC73,Cell Division Cycle 73,Protein Coding,52,GC01P193121,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC73
HADHA,Hydroxyacyl-CoA Dehydrogenase Trifunctional Multienzyme Complex Subunit Alpha,Protein Coding,52,GC02M026190,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HADHA
LARS1,Leucyl-TRNA Synthetase 1,Protein Coding,52,GC05M146114,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LARS1
PDHB,Pyruvate Dehydrogenase E1 Subunit Beta,Protein Coding,52,GC03M058428,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDHB
PPM1A,"Protein Phosphatase, Mg2+/Mn2+ Dependent 1A",Protein Coding,52,GC14P060245,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPM1A
C1QBP,Complement C1q Binding Protein,Protein Coding,51,GC17M005432,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP
EIF3A,Eukaryotic Translation Initiation Factor 3 Subunit A,Protein Coding,51,GC10M119034,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3A
POLR2A,RNA Polymerase II Subunit A,Protein Coding,51,GC17P012057,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2A
SLC1A5,Solute Carrier Family 1 Member 5,Protein Coding,51,GC19M073797,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC1A5
TFE3,Transcription Factor Binding To IGHM Enhancer 3,Protein Coding,51,GC0XM049028,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFE3
BLMH,Bleomycin Hydrolase,Protein Coding,50,GC17M030248,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH
FOXP2,Forkhead Box P2,Protein Coding,50,GC07P114086,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP2
GRK4,G Protein-Coupled Receptor Kinase 4,Protein Coding,50,GC04P002963,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRK4
KCNH7,Potassium Voltage-Gated Channel Subfamily H Member 7,Protein Coding,50,GC02M162371,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNH7
RPS15A,Ribosomal Protein S15a,Protein Coding,50,GC16M018781,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS15A
VDAC2,Voltage Dependent Anion Channel 2,Protein Coding,50,GC10P075210,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC2
YME1L1,YME1 Like 1 ATPase,Protein Coding,50,GC10M027110,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YME1L1
CLIC1,Chloride Intracellular Channel 1,Protein Coding,49,GC06M074939,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIC1
EFTUD2,Elongation Factor Tu GTP Binding Domain Containing 2,Protein Coding,49,GC17M054379,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFTUD2
MATR3,Matrin 3,Protein Coding,48,GC05P139274,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MATR3
PSMC5,"Proteasome 26S Subunit, ATPase 5",Protein Coding,48,GC17P063827,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMC5
UBE2E3,Ubiquitin Conjugating Enzyme E2 E3,Protein Coding,48,GC02P180967,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2E3
ASPSCR1,"ASPSCR1 Tether For SLC2A4, UBX Domain Containing",Protein Coding,47,GC17P081976,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASPSCR1
DUSP16,Dual Specificity Phosphatase 16,Protein Coding,47,GC12M012473,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP16
IL17B,Interleukin 17B,Protein Coding,47,GC05M149371,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17B
NINJ1,Ninjurin 1,Protein Coding,47,GC09M093121,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NINJ1
RPLP2,Ribosomal Protein Lateral Stalk Subunit P2,Protein Coding,47,GC11P002262,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPLP2
CAND1,Cullin Associated And Neddylation Dissociated 1,Protein Coding,46,GC12P067270,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAND1
EIF3E,Eukaryotic Translation Initiation Factor 3 Subunit E,Protein Coding,46,GC08M108163,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3E
EIF3L,Eukaryotic Translation Initiation Factor 3 Subunit L,Protein Coding,46,GC22P037848,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF3L
EML4,EMAP Like 4,Protein Coding,46,GC02P042169,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EML4
IL20,Interleukin 20,Protein Coding,45,GC01P206866,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL20
IPO7,Importin 7,Protein Coding,45,GC11P009384,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPO7
PSME4,Proteasome Activator Subunit 4,Protein Coding,45,GC02M053864,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSME4
TIMM50,Translocase Of Inner Mitochondrial Membrane 50,Protein Coding,45,GC19P039480,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMM50
FBXO3,F-Box Protein 3,Protein Coding,44,GC11M033740,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO3
HACD3,3-Hydroxyacyl-CoA Dehydratase 3,Protein Coding,44,GC15P065530,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HACD3
KPNA5,Karyopherin Subunit Alpha 5,Protein Coding,42,GC06P116681,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KPNA5
CD24,CD24 Molecule,Protein Coding,41,GC06M106969,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD24
DIRAS3,DIRAS Family GTPase 3,Protein Coding,38,GC01M068045,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DIRAS3
ZNF768,Zinc Finger Protein 768,Protein Coding,36,GC16M030524,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF768
H2BC12L,H2B Clustered Histone 12 Like,Protein Coding,34,GC21P043569,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC12L
DELEC1,Deleted In Esophageal Cancer 1,RNA Gene,30,GC09P119922,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DELEC1
MIR99A,MicroRNA 99a,RNA Gene,24,GC21P016539,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR99A
MIR212,MicroRNA 212,RNA Gene,23,GC17M002050,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR212
MIR130B,MicroRNA 130b,RNA Gene,22,GC22P048361,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR130B
MIR301B,MicroRNA 301b,RNA Gene,18,GC22P046856,1.53448081,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR301B
CDKN1C,Cyclin Dependent Kinase Inhibitor 1C,Protein Coding,52,GC11M005012,1.527554274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1C
POU5F1,POU Class 5 Homeobox 1,Protein Coding,51,GC06M074881,1.527554274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU5F1
BCL6,BCL6 Transcription Repressor,Protein Coding,52,GC03M187721,1.523571253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL6
WNT1,Wnt Family Member 1,Protein Coding,52,GC12P050145,1.523571253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT1
CITED2,Cbp/P300 Interacting Transactivator With Glu/Asp Rich Carboxy-Terminal Domain 2,Protein Coding,50,GC06M139371,1.523571253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CITED2
NEK4,NIMA Related Kinase 4,Protein Coding,48,GC03M052708,1.523571253,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEK4
ABI3,ABI Family Member 3,Protein Coding,43,GC17P049210,1.517204762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI3
MIR590,MicroRNA 590,RNA Gene,22,GC07P074191,1.517204762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR590
MIR543,MicroRNA 543,RNA Gene,19,GC14P111096,1.517204762,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR543
BAX,"BCL2 Associated X, Apoptosis Regulator",Protein Coding,57,GC19P048954,1.494742513,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAX
DNMT3A,DNA Methyltransferase 3 Alpha,Protein Coding,57,GC02M025228,1.494742513,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,53,GC04M023755,1.494742513,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A
ENG,Endoglin,Protein Coding,55,GC09M127815,1.475089788,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG
APP,Amyloid Beta Precursor Protein,Protein Coding,58,GC21M025880,1.472452641,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APP
CDC25C,Cell Division Cycle 25C,Protein Coding,54,GC05M138285,1.469037414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C
PLD2,Phospholipase D2,Protein Coding,53,GC17P004827,1.469037414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD2
WNT16,Wnt Family Member 16,Protein Coding,47,GC07P121325,1.469037414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT16
LNCTAM34A,Long Non Coding Transcriptional Activator Of MiR34a,RNA Gene,15,GC01P009183,1.469037414,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LNCTAM34A
INSR,Insulin Receptor,Protein Coding,60,GC19M007112,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR
KCNK9,Potassium Two Pore Domain Channel Subfamily K Member 9,Protein Coding,54,GC08M139585,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK9
FZD5,Frizzled Class Receptor 5,Protein Coding,53,GC02M207762,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD5
KCNA2,Potassium Voltage-Gated Channel Subfamily A Member 2,Protein Coding,53,GC01M110519,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNA2
CNTN2,Contactin 2,Protein Coding,52,GC01P205043,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTN2
DAO,D-Amino Acid Oxidase,Protein Coding,52,GC12P108859,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAO
EPHX1,Epoxide Hydrolase 1,Protein Coding,52,GC01P225810,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPHX1
FGF23,Fibroblast Growth Factor 23,Protein Coding,52,GC12M004368,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF23
MKNK1,MAPK Interacting Serine/Threonine Kinase 1,Protein Coding,52,GC01M046557,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKNK1
SF3B1,Splicing Factor 3b Subunit 1,Protein Coding,52,GC02M197442,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B1
SOX9,SRY-Box Transcription Factor 9,Protein Coding,52,GC17P072121,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX9
BLVRA,Biliverdin Reductase A,Protein Coding,51,GC07P043758,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLVRA
SNAI1,Snail Family Transcriptional Repressor 1,Protein Coding,51,GC20P049982,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAI1
KCNJ12,Potassium Inwardly Rectifying Channel Subfamily J Member 12,Protein Coding,50,GC17P065983,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ12
WNT9A,Wnt Family Member 9A,Protein Coding,50,GC01M227920,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNT9A
AHCYL1,Adenosylhomocysteinase Like 1,Protein Coding,49,GC01P109984,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHCYL1
PHLPP2,PH Domain And Leucine Rich Repeat Protein Phosphatase 2,Protein Coding,48,GC16M071637,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLPP2
ZMYND11,Zinc Finger MYND-Type Containing 11,Protein Coding,48,GC10P000134,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMYND11
NACC1,Nucleus Accumbens Associated 1,Protein Coding,47,GC19P015078,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NACC1
NUDT5,Nudix Hydrolase 5,Protein Coding,47,GC10M012165,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT5
SLC52A1,Solute Carrier Family 52 Member 1,Protein Coding,47,GC17M005032,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC52A1
AKTIP,AKT Interacting Protein,Protein Coding,46,GC16M053527,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKTIP
CAPNS1,Calpain Small Subunit 1,Protein Coding,46,GC19P076101,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPNS1
MAPK15,Mitogen-Activated Protein Kinase 15,Protein Coding,46,GC08P143716,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK15
MYBBP1A,MYB Binding Protein 1a,Protein Coding,46,GC17M004538,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBBP1A
XAB2,XPA Binding Protein 2,Protein Coding,45,GC19M007619,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XAB2
NCAPH2,Non-SMC Condensin II Complex Subunit H2,Protein Coding,44,GC22P050508,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAPH2
PES1,Pescadillo Ribosomal Biogenesis Factor 1,Protein Coding,44,GC22M030576,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PES1
PPP1R13B,Protein Phosphatase 1 Regulatory Subunit 13B,Protein Coding,44,GC14M103733,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R13B
SUPT6H,"SPT6 Homolog, Histone Chaperone And Transcription Elongation Factor",Protein Coding,44,GC17P028662,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUPT6H
ATG9B,Autophagy Related 9B,Protein Coding,43,GC07M151012,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9B
CXCL14,C-X-C Motif Chemokine Ligand 14,Protein Coding,43,GC05M135617,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL14
SPIN1,Spindlin 1,Protein Coding,43,GC09P088388,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIN1
LRRC56,Leucine Rich Repeat Containing 56,Protein Coding,42,GC11P000518,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRRC56
SERPINB12,Serpin Family B Member 12,Protein Coding,42,GC18P063556,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB12
SURF2,Surfeit 2,Protein Coding,42,GC09P134596,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SURF2
ZMAT3,Zinc Finger Matrin-Type 3,Protein Coding,40,GC03M179017,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZMAT3
ZNF778,Zinc Finger Protein 778,Protein Coding,39,GC16P089202,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF778
FBXO46,F-Box Protein 46,Protein Coding,35,GC19M045710,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBXO46
MIR185,MicroRNA 185,RNA Gene,25,GC22P046756,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR185
MIR125B1,MicroRNA 125b-1,RNA Gene,24,GC11M122100,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR125B1
MIR197,MicroRNA 197,RNA Gene,21,GC01P109598,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR197
OVAAL,Ovarian Adenocarcinoma Amplified Long Non-Coding RNA,RNA Gene,19,GC01P180509,1.462671041,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OVAAL
LINC03068,Long Intergenic Non-Protein Coding RNA 3068,RNA Gene,7,GC10M132432,1.454889774,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC03068
ITGB1,Integrin Subunit Beta 1,Protein Coding,57,GC10M033922,1.450508714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB1
CBX7,Chromobox 7,Protein Coding,43,GC22M063722,1.450508714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX7
CDKN2B-AS1,CDKN2B Antisense RNA 1,RNA Gene,26,GC09P021994,1.450508714,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2B-AS1
